image,gender,status,set
00002311.jpg,1,0,train
00005529.jpg,0,2,train
00002282.jpg,0,2,train
00004413.jpg,1,3,train
00003214.jpg,1,0,train
00005236.jpg,0,1,train
00002261.jpg,0,1,train
00003753.jpg,1,3,train
00004353.jpg,0,3,train
00004730.jpg,0,1,train
00000799.jpg,0,1,train
00004635.jpg,0,1,train
00004914.jpg,0,2,train
00004599.jpg,0,1,train
00000227.jpg,0,1,train
00000300.jpg,0,1,train
00001877.jpg,1,0,train
00004708.jpg,0,2,train
00000546.jpg,0,0,train
00003896.jpg,1,0,train
00005201.jpg,0,3,train
00005389.jpg,0,0,train
00005126.jpg,0,1,train
00004942.jpg,0,2,train
00003826.jpg,0,0,train
00002974.jpg,0,1,train
00004440.jpg,0,1,train
00003397.jpg,0,0,train
00001886.jpg,0,0,train
00000917.jpg,1,3,train
00004163.jpg,1,0,train
00000551.jpg,0,1,train
00005728.jpg,0,0,train
00004394.jpg,0,1,train
00003512.jpg,0,0,train
00001368.jpg,0,0,train
00000916.jpg,0,3,train
00003824.jpg,0,3,train
00000186.jpg,0,1,train
00005441.jpg,0,1,train
00005047.jpg,0,1,train
00005809.jpg,1,0,train
00001221.jpg,0,0,train
00002826.jpg,0,0,train
00002163.jpg,0,1,train
00004678.jpg,0,1,train
00002661.jpg,0,0,train
00003470.jpg,0,3,train
00003365.jpg,0,0,train
00003871.jpg,1,0,train
00002349.jpg,0,1,train
00001326.jpg,0,3,train
00000309.jpg,0,1,train
00003648.jpg,0,0,train
00002658.jpg,1,0,train
00000031.jpg,0,1,train
00005420.jpg,0,1,train
00000842.jpg,0,1,train
00003140.jpg,1,0,train
00005573.jpg,0,1,train
00005148.jpg,0,0,train
00004376.jpg,0,3,train
00003882.jpg,0,1,train
00005003.jpg,0,2,train
00001429.jpg,0,1,train
00005596.jpg,0,1,train
00001684.jpg,1,0,train
00004501.jpg,0,1,train
00004789.jpg,0,0,train
00000927.jpg,0,1,train
00003161.jpg,0,1,train
00005226.jpg,0,1,train
00000581.jpg,1,0,train
00000492.jpg,0,0,train
00001381.jpg,1,0,train
00004218.jpg,0,3,train
00001254.jpg,1,0,train
00001033.jpg,1,0,train
00005056.jpg,0,0,train
00005064.jpg,0,1,train
00001434.jpg,0,0,train
00005221.jpg,0,1,train
00004395.jpg,1,3,train
00002093.jpg,1,0,train
00005480.jpg,0,2,train
00003769.jpg,1,0,train
00004620.jpg,0,1,train
00002757.jpg,0,1,train
00005534.jpg,1,2,train
00001552.jpg,0,1,train
00000177.jpg,0,1,train
00005589.jpg,1,0,train
00005006.jpg,0,2,train
00005112.jpg,0,1,train
00001610.jpg,0,1,train
00001050.jpg,0,1,train
00003074.jpg,0,3,train
00003912.jpg,1,0,train
00002142.jpg,0,1,train
00005619.jpg,0,1,train
00005315.jpg,0,2,train
00004781.jpg,0,0,train
00005320.jpg,0,2,train
00003264.jpg,1,0,train
00003911.jpg,1,0,train
00003554.jpg,0,0,train
00000614.jpg,0,0,train
00000675.jpg,0,0,train
00004847.jpg,0,0,train
00001754.jpg,0,3,train
00001678.jpg,0,2,train
00005707.jpg,0,0,train
00005327.jpg,0,3,train
00004210.jpg,0,0,train
00005382.jpg,0,0,train
00000893.jpg,1,0,train
00005213.jpg,0,1,train
00003996.jpg,0,0,train
00000192.jpg,0,2,train
00005473.jpg,0,2,train
00003330.jpg,0,2,train
00003127.jpg,1,0,train
00002791.jpg,0,3,train
00003033.jpg,0,0,train
00003681.jpg,0,1,train
00003844.jpg,0,1,train
00003230.jpg,0,0,train
00000288.jpg,1,0,train
00002066.jpg,0,0,train
00001881.jpg,0,0,train
00003373.jpg,0,0,train
00002531.jpg,0,0,train
00004379.jpg,0,3,train
00005458.jpg,0,2,train
00001122.jpg,0,3,train
00001868.jpg,1,0,train
00000903.jpg,1,0,train
00005464.jpg,0,2,train
00001126.jpg,1,0,train
00000476.jpg,0,1,train
00001576.jpg,0,1,train
00000871.jpg,0,1,train
00003226.jpg,0,1,train
00000402.jpg,0,0,train
00002836.jpg,0,0,train
00005570.jpg,0,1,train
00002657.jpg,0,0,train
00004951.jpg,0,0,train
00000660.jpg,0,0,train
00005303.jpg,0,0,train
00003347.jpg,0,0,train
00004629.jpg,0,1,train
00000731.jpg,1,0,train
00003556.jpg,0,0,train
00005374.jpg,0,0,train
00003742.jpg,0,0,train
00001020.jpg,0,1,train
00000558.jpg,1,0,train
00003409.jpg,1,0,train
00004743.jpg,0,1,train
00004432.jpg,0,1,train
00000143.jpg,0,1,train
00002134.jpg,0,1,train
00000855.jpg,0,1,train
00001649.jpg,0,2,train
00000853.jpg,0,1,train
00001657.jpg,0,2,train
00005144.jpg,0,1,train
00003591.jpg,0,0,train
00002574.jpg,0,0,train
00005572.jpg,0,1,train
00003190.jpg,0,1,train
00004675.jpg,0,1,train
00004208.jpg,0,1,train
00001777.jpg,1,0,train
00000572.jpg,1,0,train
00002559.jpg,0,0,train
00000467.jpg,0,0,train
00005311.jpg,0,3,train
00001102.jpg,0,0,train
00003250.jpg,0,1,train
00003405.jpg,0,0,train
00000998.jpg,0,3,train
00005553.jpg,1,2,train
00005168.jpg,1,0,train
00002598.jpg,0,0,train
00000464.jpg,0,0,train
00003295.jpg,1,0,train
00000831.jpg,0,1,train
00004145.jpg,0,0,train
00003840.jpg,0,0,train
00001064.jpg,0,1,train
00002838.jpg,0,3,train
00005231.jpg,0,1,train
00003706.jpg,0,0,train
00003248.jpg,0,1,train
00001158.jpg,1,3,train
00001367.jpg,1,0,train
00005806.jpg,1,0,train
00001189.jpg,1,3,train
00001548.jpg,0,2,train
00002695.jpg,0,1,train
00005092.jpg,1,0,train
00003372.jpg,0,0,train
00001156.jpg,0,1,train
00003299.jpg,0,0,train
00005754.jpg,1,0,train
00000620.jpg,0,0,train
00001087.jpg,1,0,train
00000278.jpg,1,0,train
00005520.jpg,0,2,train
00001642.jpg,0,1,train
00002440.jpg,0,1,train
00004370.jpg,1,0,train
00004552.jpg,1,0,train
00005123.jpg,0,3,train
00000563.jpg,0,0,train
00001791.jpg,1,0,train
00004999.jpg,0,2,train
00005550.jpg,1,2,train
00005416.jpg,0,1,train
00000610.jpg,0,0,train
