image,gender,status,set
00001117.jpg,0,0,train
00005804.jpg,0,1,train
00002412.jpg,0,2,train
00003166.jpg,1,0,train
00003117.jpg,0,1,train
00007974.jpg,0,0,train
00004292.jpg,1,0,train
00005836.jpg,0,1,train
00006100.jpg,0,1,train
00000179.jpg,1,0,train
00007635.jpg,1,1,train
00004019.jpg,0,1,train
00005920.jpg,0,0,train
00007290.jpg,0,3,train
00005789.jpg,0,0,train
00002272.jpg,0,2,train
00002004.jpg,0,0,train
00003118.jpg,0,1,train
00006588.jpg,0,1,train
00001537.jpg,0,0,train
00000435.jpg,1,0,train
00007099.jpg,1,0,train
00006791.jpg,0,0,train
00007746.jpg,0,1,train
00001283.jpg,0,2,train
00001167.jpg,0,0,train
00000127.jpg,1,0,train
00007838.jpg,1,3,train
00003813.jpg,0,3,train
00001699.jpg,0,1,train
00006312.jpg,0,1,train
00004748.jpg,0,1,train
00006347.jpg,0,1,train
00007362.jpg,1,1,train
00005180.jpg,0,3,train
00006469.jpg,0,1,train
00003139.jpg,0,1,train
00002367.jpg,0,1,train
00006366.jpg,0,1,train
00006727.jpg,0,0,train
00006544.jpg,0,1,train
00005137.jpg,0,0,train
00006511.jpg,0,1,train
00004904.jpg,1,0,train
00000815.jpg,0,0,train
00000421.jpg,0,0,train
00005327.jpg,0,0,train
00001768.jpg,0,3,train
00003693.jpg,0,1,train
00006726.jpg,0,0,train
00000451.jpg,0,0,train
00006285.jpg,0,1,train
00001590.jpg,1,0,train
00006093.jpg,0,1,train
00008561.jpg,0,1,train
00003711.jpg,0,1,train
00008552.jpg,0,1,train
00000161.jpg,0,0,train
00007493.jpg,0,1,train
00006918.jpg,0,0,train
00008619.jpg,1,0,train
00001511.jpg,0,3,train
00006272.jpg,0,1,train
00004070.jpg,0,1,train
00001576.jpg,0,0,train
00007534.jpg,0,2,train
00005364.jpg,0,0,train
00004476.jpg,0,0,train
00004469.jpg,1,0,train
00003926.jpg,1,0,train
00007743.jpg,0,1,train
00004424.jpg,1,0,train
00003534.jpg,0,1,train
00006288.jpg,0,1,train
00000895.jpg,0,0,train
00005228.jpg,0,0,train
00005347.jpg,1,0,train
00008724.jpg,1,0,train
00006033.jpg,0,3,train
00003538.jpg,1,0,train
00005996.jpg,1,0,train
00001907.jpg,0,1,train
00003077.jpg,0,1,train
00008432.jpg,0,1,train
00002912.jpg,1,3,train
00008507.jpg,0,1,train
00000553.jpg,0,3,train
00006422.jpg,0,1,train
00004165.jpg,0,2,train
00002988.jpg,0,2,train
00005491.jpg,0,0,train
00001352.jpg,0,1,train
00007845.jpg,0,1,train
00006162.jpg,0,1,train
00003902.jpg,1,0,train
00001566.jpg,0,0,train
00001575.jpg,0,0,train
00003709.jpg,1,0,train
00007809.jpg,0,0,train
00005171.jpg,0,3,train
00002345.jpg,0,1,train
00005313.jpg,0,0,train
00008085.jpg,0,2,train
00001532.jpg,1,0,train
00001223.jpg,0,1,train
00002990.jpg,0,2,train
00001357.jpg,0,0,train
00005744.jpg,0,1,train
00001061.jpg,1,0,train
00007906.jpg,0,0,train
00005984.jpg,0,0,train
00003846.jpg,0,1,train
00006052.jpg,1,0,train
00004654.jpg,0,1,train
00005427.jpg,1,0,train
00004472.jpg,1,0,train
00005172.jpg,0,3,train
00000550.jpg,0,3,train
00007942.jpg,1,3,train
00003284.jpg,0,1,train
00005272.jpg,0,1,train
00003568.jpg,0,1,train
00006974.jpg,0,0,train
00007304.jpg,0,3,train
00003372.jpg,0,0,train
00006526.jpg,1,1,train
00004648.jpg,0,1,train
00005858.jpg,0,0,train
00008405.jpg,1,1,train
00003639.jpg,0,0,train
00006122.jpg,0,1,train
00004501.jpg,1,0,train
00001297.jpg,0,0,train
00004399.jpg,0,1,train
00001615.jpg,1,0,train
00005392.jpg,1,0,train
00001152.jpg,0,0,train
00000990.jpg,0,0,train
00005632.jpg,1,3,train
00004126.jpg,0,2,train
00000704.jpg,0,0,train
00004593.jpg,1,0,train
00004192.jpg,1,2,train
00007953.jpg,1,0,train
00008792.jpg,0,0,train
00008364.jpg,0,1,train
00005794.jpg,0,0,train
00005810.jpg,1,0,train
00002933.jpg,0,0,train
00004144.jpg,1,2,train
00002796.jpg,1,0,train
00001102.jpg,0,0,train
00007125.jpg,0,0,train
00005439.jpg,0,0,train
00003613.jpg,0,1,train
00006971.jpg,1,0,train
00006132.jpg,0,1,train
00000547.jpg,0,1,train
00003993.jpg,1,3,train
00003170.jpg,1,0,train
00000963.jpg,0,2,train
00001517.jpg,0,2,train
00005939.jpg,0,3,train
00000536.jpg,0,1,train
00006228.jpg,0,1,train
00006769.jpg,1,0,train
00005236.jpg,0,0,train
00005385.jpg,1,0,train
00007601.jpg,0,0,train
00007191.jpg,0,0,train
00002105.jpg,0,0,train
00004413.jpg,1,0,train
00007149.jpg,0,0,train
00008221.jpg,0,1,train
00006652.jpg,0,1,train
00001713.jpg,0,1,train
00000609.jpg,0,2,train
00006267.jpg,0,1,train
00001385.jpg,0,3,train
00000734.jpg,0,0,train
00004707.jpg,0,1,train
00008657.jpg,0,0,train
00005163.jpg,1,2,train
00000513.jpg,0,1,train
00004075.jpg,0,1,train
00008463.jpg,0,1,train
00006730.jpg,0,0,train
00003617.jpg,0,1,train
00003695.jpg,0,1,train
00005070.jpg,0,1,train
00002391.jpg,0,1,train
00004407.jpg,0,1,train
00008785.jpg,1,0,train
00000296.jpg,1,0,train
00005573.jpg,0,0,train
00001558.jpg,0,0,train
00005331.jpg,0,0,train
00000119.jpg,1,0,train
00005254.jpg,1,0,train
00000489.jpg,0,1,train
00000486.jpg,0,1,train
00007291.jpg,1,3,train
00008520.jpg,0,1,train
00000778.jpg,0,0,train
00004687.jpg,0,1,train
00004417.jpg,1,0,train
00006311.jpg,0,1,train
00007503.jpg,0,3,train
